global null, 15 sims; nominal .050 / .0010

           configuration  unc<.05  unc<.001   s/fit
  pointwise + montecarlo    0.041    0.0010    54.4   [1/15]
  pointwise + montecarlo    0.040    0.0010    53.4   [2/15]
  pointwise + montecarlo    0.041    0.0011    53.2   [3/15]
  pointwise + montecarlo    0.043    0.0010    53.2   [4/15]
  pointwise + montecarlo    0.041    0.0010    53.3   [5/15]
  pointwise + montecarlo    0.040    0.0010    53.3   [6/15]
  pointwise + montecarlo    0.041    0.0009    53.3   [7/15]
  pointwise + montecarlo    0.041    0.0010    53.3   [8/15]
  pointwise + montecarlo    0.041    0.0010    53.3   [9/15]
  pointwise + montecarlo    0.041    0.0010    53.4   [10/15]
  pointwise + montecarlo    0.041    0.0011    53.4   [11/15]
  pointwise + montecarlo    0.041    0.0011    53.4   [12/15]
  pointwise + montecarlo    0.041    0.0011    53.5   [13/15]
  pointwise + montecarlo    0.041    0.0010    53.6   [14/15]
  pointwise + montecarlo    0.041    0.0010    53.7   [15/15]
        rft + montecarlo    0.040    0.0010   151.4   [1/15]
        rft + montecarlo    0.040    0.0010   149.3   [2/15]
        rft + montecarlo    0.041    0.0010   152.9   [3/15]
        rft + montecarlo    0.042    0.0010   155.0   [4/15]
        rft + montecarlo    0.041    0.0009   152.5   [5/15]
        rft + montecarlo    0.041    0.0009   153.7   [6/15]
        rft + montecarlo    0.041    0.0008   152.8   [7/15]
        rft + montecarlo    0.041    0.0009   154.2   [8/15]
        rft + montecarlo    0.041    0.0009   155.3   [9/15]
        rft + montecarlo    0.041    0.0009   156.5   [10/15]
        rft + montecarlo    0.042    0.0010   156.6   [11/15]
        rft + montecarlo    0.041    0.0010   157.9   [12/15]
        rft + montecarlo    0.041    0.0010   157.8   [13/15]
        rft + montecarlo    0.042    0.0010   158.1   [14/15]
        rft + montecarlo    0.042    0.0009   158.0   [15/15]
 pointwise + approximate    0.041    0.0010    15.6   [1/15]
 pointwise + approximate    0.040    0.0011    14.1   [2/15]
 pointwise + approximate    0.041    0.0012    13.7   [3/15]
 pointwise + approximate    0.043    0.0011    13.9   [4/15]
 pointwise + approximate    0.041    0.0010    13.6   [5/15]
 pointwise + approximate    0.041    0.0010    13.5   [6/15]
 pointwise + approximate    0.041    0.0010    13.8   [7/15]
 pointwise + approximate    0.041    0.0010    13.6   [8/15]
 pointwise + approximate    0.042    0.0010    13.8   [9/15]
 pointwise + approximate    0.041    0.0010    13.7   [10/15]
 pointwise + approximate    0.042    0.0011    13.8   [11/15]
 pointwise + approximate    0.042    0.0011    13.8   [12/15]
 pointwise + approximate    0.041    0.0011    13.9   [13/15]
 pointwise + approximate    0.042    0.0011    13.9   [14/15]
 pointwise + approximate    0.042    0.0010    14.0   [15/15]
       rft + approximate    0.038    0.0004    14.9   [1/15]
       rft + approximate    0.038    0.0004    15.0   [2/15]
       rft + approximate    0.038    0.0003    15.0   [3/15]
       rft + approximate    0.039    0.0003    15.0   [4/15]
       rft + approximate    0.037    0.0003    15.1   [5/15]
       rft + approximate    0.037    0.0002    15.2   [6/15]
       rft + approximate    0.037    0.0002    15.3   [7/15]
       rft + approximate    0.037    0.0003    15.3   [8/15]
       rft + approximate    0.038    0.0003    15.3   [9/15]
       rft + approximate    0.036    0.0002    15.3   [10/15]
       rft + approximate    0.037    0.0003    15.3   [11/15]
       rft + approximate    0.036    0.0003    15.3   [12/15]
       rft + approximate    0.036    0.0003    15.4   [13/15]
       rft + approximate    0.036    0.0003    15.4   [14/15]
       rft + approximate    0.036    0.0003    15.4   [15/15]

known g = 0.6, field-simulated so peaks are selected, 6 sims
           configuration  g at truth  prevalence   s/fit
  pointwise + montecarlo       0.704       0.979     0.7   [1/6]
  pointwise + montecarlo       0.675       0.971     0.7   [2/6]
  pointwise + montecarlo       0.651       0.979     0.7   [3/6]
  pointwise + montecarlo       0.653       0.964     0.7   [4/6]
  pointwise + montecarlo       0.662       0.966     0.7   [5/6]
  pointwise + montecarlo       0.665       0.970     0.7   [6/6]
        rft + montecarlo       0.913       0.500     1.1   [1/6]
        rft + montecarlo       0.897       0.449     1.1   [2/6]
        rft + montecarlo       0.863       0.432     1.1   [3/6]
        rft + montecarlo       0.873       0.424     1.1   [4/6]
        rft + montecarlo       0.882       0.435     1.1   [5/6]
        rft + montecarlo       0.882       0.442     1.1   [6/6]
