global null, 30 simulations, 30 studies x 8 noise foci, mixed thresholds
(nominal: 0.050 / 0.0010 / 0.05 / 0.05 / 0.05)

           configuration  unc p<.05  unc p<.001  FWE-bonf  FDR q=.05   FWE-mc
      pooled-min, no rho      0.043      0.0014      0.00       0.00     0.00   [1/30]
      pooled-min, no rho      0.041      0.0017      0.00       0.00     0.00   [2/30]
      pooled-min, no rho      0.042      0.0018      0.00       0.00     0.00   [3/30]
      pooled-min, no rho      0.043      0.0016      0.00       0.00     0.00   [4/30]
      pooled-min, no rho      0.041      0.0014      0.00       0.00     0.00   [5/30]
      pooled-min, no rho      0.041      0.0015      0.00       0.00     0.00   [6/30]
      pooled-min, no rho      0.041      0.0014      0.00       0.00     0.00   [7/30]
      pooled-min, no rho      0.041      0.0014      0.00       0.00     0.00   [8/30]
      pooled-min, no rho      0.041      0.0014      0.00       0.00     0.00   [9/30]
      pooled-min, no rho      0.040      0.0013      0.00       0.00     0.00   [10/30]
      pooled-min, no rho      0.041      0.0013      0.00       0.00     0.00   [11/30]
      pooled-min, no rho      0.040      0.0013      0.00       0.00     0.00   [12/30]
      pooled-min, no rho      0.040      0.0012      0.00       0.00     0.00   [13/30]
      pooled-min, no rho      0.040      0.0012      0.00       0.00     0.00   [14/30]
      pooled-min, no rho      0.040      0.0012      0.00       0.00     0.00   [15/30]
      pooled-min, no rho      0.039      0.0012      0.00       0.00     0.00   [16/30]
      pooled-min, no rho      0.040      0.0012      0.00       0.00     0.00   [17/30]
      pooled-min, no rho      0.040      0.0012      0.00       0.00     0.00   [18/30]
      pooled-min, no rho      0.040      0.0011      0.00       0.00     0.00   [19/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [20/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [21/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [22/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [23/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [24/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [25/30]
      pooled-min, no rho      0.039      0.0011      0.00       0.00     0.00   [26/30]
      pooled-min, no rho      0.039      0.0011      0.04       0.04     0.04   [27/30]
      pooled-min, no rho      0.039      0.0010      0.04       0.04     0.04   [28/30]
      pooled-min, no rho      0.039      0.0011      0.03       0.03     0.03   [29/30]
      pooled-min, no rho      0.039      0.0011      0.03       0.03     0.03   [30/30]
               study-min      0.043      0.0016      0.00       0.00     0.00   [1/30]
               study-min      0.041      0.0019      0.00       0.00     0.50   [2/30]
               study-min      0.041      0.0019      0.00       0.00     0.33   [3/30]
               study-min      0.042      0.0017      0.00       0.00     0.25   [4/30]
               study-min      0.040      0.0016      0.00       0.00     0.20   [5/30]
               study-min      0.040      0.0016      0.00       0.00     0.17   [6/30]
               study-min      0.040      0.0015      0.00       0.00     0.14   [7/30]
               study-min      0.041      0.0014      0.00       0.00     0.12   [8/30]
               study-min      0.041      0.0014      0.00       0.00     0.11   [9/30]
               study-min      0.040      0.0013      0.00       0.00     0.10   [10/30]
               study-min      0.040      0.0014      0.00       0.00     0.09   [11/30]
               study-min      0.040      0.0013      0.00       0.00     0.08   [12/30]
               study-min      0.039      0.0013      0.00       0.00     0.08   [13/30]
               study-min      0.040      0.0013      0.00       0.00     0.07   [14/30]
               study-min      0.040      0.0012      0.00       0.00     0.07   [15/30]
               study-min      0.039      0.0012      0.00       0.00     0.06   [16/30]
               study-min      0.040      0.0012      0.00       0.00     0.06   [17/30]
               study-min      0.040      0.0012      0.00       0.00     0.06   [18/30]
               study-min      0.039      0.0012      0.00       0.00     0.05   [19/30]
               study-min      0.039      0.0012      0.00       0.00     0.05   [20/30]
               study-min      0.039      0.0012      0.00       0.00     0.05   [21/30]
               study-min      0.039      0.0011      0.00       0.00     0.05   [22/30]
               study-min      0.039      0.0011      0.00       0.00     0.04   [23/30]
               study-min      0.039      0.0011      0.00       0.00     0.04   [24/30]
               study-min      0.039      0.0011      0.00       0.00     0.04   [25/30]
               study-min      0.039      0.0011      0.00       0.00     0.04   [26/30]
               study-min      0.039      0.0011      0.04       0.04     0.07   [27/30]
