global null, 10 simulations, 30 studies x 8 noise foci, mixed thresholds
(nominal: 0.050 / 0.0010 / 0.05 / 0.05 / 0.05)

           configuration  unc p<.05  unc p<.001  FWE-bonf  FDR q=.05   FWE-mc
      pooled-min, no rho      0.040      0.0014      0.00       0.00     0.00   [1/10]
      pooled-min, no rho      0.038      0.0017      0.00       0.00     0.00   [2/10]
      pooled-min, no rho      0.039      0.0018      0.00       0.00     0.00   [3/10]
      pooled-min, no rho      0.041      0.0016      0.00       0.00     0.00   [4/10]
      pooled-min, no rho      0.038      0.0014      0.00       0.00     0.00   [5/10]
      pooled-min, no rho      0.038      0.0015      0.00       0.00     0.00   [6/10]
      pooled-min, no rho      0.038      0.0013      0.00       0.00     0.00   [7/10]
      pooled-min, no rho      0.039      0.0013      0.00       0.00     0.00   [8/10]
      pooled-min, no rho      0.039      0.0013      0.00       0.00     0.00   [9/10]
      pooled-min, no rho      0.038      0.0012      0.00       0.00     0.00   [10/10]
     study-min-corrected      0.040      0.0015      0.00       0.00     0.00   [1/10]
     study-min-corrected      0.038      0.0018      0.00       0.50     0.50   [2/10]
     study-min-corrected      0.039      0.0018      0.00       0.33     0.33   [3/10]
     study-min-corrected      0.040      0.0016      0.00       0.25     0.25   [4/10]
     study-min-corrected      0.038      0.0014      0.00       0.20     0.20   [5/10]
     study-min-corrected      0.038      0.0014      0.00       0.17     0.17   [6/10]
     study-min-corrected      0.038      0.0013      0.00       0.14     0.14   [7/10]
     study-min-corrected      0.038      0.0013      0.00       0.12     0.12   [8/10]
     study-min-corrected      0.038      0.0013      0.00       0.11     0.11   [9/10]
     study-min-corrected      0.038      0.0012      0.00       0.10     0.10   [10/10]
         + per-study rho      0.041      0.0013      0.00       0.00     0.00   [1/10]
         + per-study rho      0.038      0.0013      0.50       0.50     0.50   [2/10]
         + per-study rho      0.038      0.0014      0.33       0.33     0.33   [3/10]
         + per-study rho      0.039      0.0012      0.25       0.25     0.25   [4/10]
         + per-study rho      0.038      0.0012      0.20       0.20     0.20   [5/10]
         + per-study rho      0.038      0.0013      0.17       0.17     0.17   [6/10]
         + per-study rho      0.038      0.0012      0.14       0.14     0.14   [7/10]
         + per-study rho      0.038      0.0012      0.12       0.12     0.12   [8/10]
         + per-study rho      0.039      0.0012      0.11       0.11     0.11   [9/10]
         + per-study rho      0.038      0.0011      0.10       0.10     0.10   [10/10]
  oracle threshold + rho      0.042      0.0013      0.00       0.00     0.00   [1/10]
  oracle threshold + rho      0.038      0.0013      0.50       0.50     0.50   [2/10]
  oracle threshold + rho      0.038      0.0014      0.33       0.33     0.33   [3/10]
  oracle threshold + rho      0.040      0.0012      0.25       0.25     0.25   [4/10]
  oracle threshold + rho      0.038      0.0012      0.20       0.20     0.20   [5/10]
  oracle threshold + rho      0.038      0.0012      0.17       0.17     0.17   [6/10]
  oracle threshold + rho      0.038      0.0012      0.14       0.14     0.14   [7/10]
  oracle threshold + rho      0.038      0.0011      0.12       0.12     0.12   [8/10]
  oracle threshold + rho      0.039      0.0012      0.11       0.11     0.11   [9/10]
  oracle threshold + rho      0.038      0.0011      0.10       0.10     0.10   [10/10]
